[11:55:21] [ServerMain/INFO]: Building unoptimized datafixer
[11:55:22] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[11:55:25] [ServerMain/INFO]: Loaded 7 recipes
[11:55:26] [ServerMain/INFO]: Loaded 1179 advancements
[11:55:27] [Server thread/INFO]: Starting minecraft server version 1.19.2
[11:55:27] [Server thread/INFO]: Loading properties
[11:55:27] [Server thread/INFO]: Default game type: SURVIVAL
[11:55:27] [Server thread/INFO]: Generating keypair
[11:55:28] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:55:28] [Server thread/INFO]: Using default channel type
[11:55:29] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[11:55:29] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[11:55:29] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[11:55:29] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[11:55:29] [Server thread/INFO]: Preparing level "world"
[11:55:56] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[11:55:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[11:55:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[11:55:57] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[11:55:57] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[11:55:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[11:55:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[11:55:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[11:55:59] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[11:56:00] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[11:56:00] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[11:56:01] [Worker-Main-3/INFO]: Preparing spawn area: 0%
[11:56:01] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[11:56:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[11:56:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[11:56:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[11:56:03] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[11:56:04] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[11:56:04] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[11:56:05] [Worker-Main-1/INFO]: Preparing spawn area: 1%
[11:56:05] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[11:56:06] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[11:56:06] [Worker-Main-3/INFO]: Preparing spawn area: 1%
[11:56:07] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[11:56:07] [Worker-Main-3/INFO]: Preparing spawn area: 2%
[11:56:08] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[11:56:08] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[11:56:09] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[11:56:09] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[11:56:10] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[11:56:10] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[11:56:11] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[11:56:11] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[11:56:12] [Worker-Main-2/INFO]: Preparing spawn area: 5%
[11:56:12] [Worker-Main-3/INFO]: Preparing spawn area: 6%
